Date,ESH6,ESM6,ESU6,ESZ6
2016-09-21,nan,nan,nan,2156.25
2016-09-22,nan,nan,nan,2168.75
2016-09-23,nan,nan,nan,2157.5
2016-09-26,nan,nan,nan,2139.75
2016-09-27,nan,nan,nan,2152.
2016-09-28,nan,nan,nan,2162.75
2016-09-29,nan,nan,nan,2147.75
2016-09-30,nan,nan,nan,2156.75
2016-10-03,nan,nan,nan,2154.25
2016-10-04,nan,nan,nan,2143.75
2016-10-05,nan,nan,nan,2153.75
2016-10-06,nan,nan,nan,2155.75

2016-10-07,nan,nan,nan,2146.5
2016-10-10,nan,nan,nan,2159.5
2016-10-11,nan,nan,nan,2133.5
2016-10-12,nan,nan,nan,2128.
2016-10-13,nan,nan,nan,2126.
2016-10-14,nan,nan,nan,2126.25
2016-10-17,nan,nan,nan,2121.75
2016-10-18,nan,nan,nan,2132.
2016-10-19,nan,nan,nan,2138.
2016-10-20,nan,nan,nan,2136.75
2016-10-21,nan,nan,nan,2136.
2016-10-24,nan,nan,nan,2145.5
2016-10-25,nan,nan,nan,2136.75
2016-10-26,nan,nan,nan,2134.
2016-10-27,nan,nan,nan,2128.
2016-10-28,nan,nan,nan,2123.75
2016-10-31,nan,nan,nan,2123.5
2016-11-01,nan,nan,nan,2102.
2016-11-02,nan,nan,nan,2090.25
2016-11-03,nan,nan,nan,2083.25
2016-11-04,nan,nan,nan,2081.5
2016-11-07,nan,nan,nan,2130.25
2016-11-08,nan,nan,nan,2135.75
2016-11-09,nan,nan,nan,2160.5
2016-11-10,nan,nan,nan,2164.5
2016-11-11,nan,nan,nan,2160.5
2016-11-14,nan,nan,nan,2161.
2016-11-15,nan,nan,nan,2179.
2016-11-16,nan,nan,nan,2172.5
2016-11-17,nan,nan,nan,2185.
2016-11-18,nan,nan,nan,2180.25
2016-11-21,nan,nan,nan,2193.75
2016-11-22,nan,nan,nan,2201.5
2016-11-23,nan,nan,nan,2201.
2016-11-24,nan,nan,nan,2206.
2016-11-25,nan,nan,nan,2211.5
2016-11-28,nan,nan,nan,2200.
2016-11-29,nan,nan,nan,2203.5
2016-11-30,nan,nan,nan,2198.75
2016-12-01,nan,nan,nan,2191.25
